frame,time_sec,a1_eye_state,a2_pupil_position,a3_driving_status,a4_head_rotation,a5_head_front_tilt,a6_head_side_tilt,yaw_deg,pitch_deg,roll_deg,ear,blink_rate_per_min
21428,1076.373,eyeClosed,center,distracted,center,extremeFrontTilt,straight,10.92,176.34,-5.34,0.2,62.0
21429,1076.424,eyeClosed,center,distracted,center,extremeFrontTilt,straight,9.83,176.54,-5.16,0.197,62.0
21430,1076.474,eyeClosed,center,distracted,center,extremeFrontTilt,straight,9.56,177.23,-5.05,0.214,62.0
21431,1076.524,eyeClosed,center,distracted,center,extremeFrontTilt,straight,10.68,176.68,-5.43,0.22,61.0
21432,1076.574,eyeClosed,center,distracted,center,extremeFrontTilt,straight,11.44,177.02,-5.33,0.217,61.0
21433,1076.625,eyeClosed,center,distracted,center,extremeFrontTilt,straight,12.1,176.91,-5.35,0.219,61.0
21434,1076.675,eyeClosed,center,distracted,center,extremeFrontTilt,straight,12.08,176.73,-5.26,0.223,61.0
21435,1076.725,eyeClosed,center,distracted,center,extremeFrontTilt,straight,13.05,176.21,-5.39,0.225,61.0
21436,1076.775,eyeClosed,center,distracted,center,extremeFrontTilt,straight,11.92,176.55,-5.19,0.222,61.0
21437,1076.826,eyeClosed,center,distracted,center,extremeFrontTilt,straight,12.57,176.59,-5.31,0.222,61.0
21438,1076.876,eyeClosed,center,distracted,center,extremeFrontTilt,straight,13.98,176.13,-5.44,0.221,61.0
21439,1076.926,eyeClosed,center,distracted,center,extremeFrontTilt,straight,13.6,175.82,-5.24,0.221,61.0
21440,1076.976,eyeClosed,center,distracted,center,extremeFrontTilt,straight,12.68,175.98,-4.92,0.222,61.0
21441,1077.026,eyeClosed,center,distracted,center,extremeFrontTilt,straight,11.89,176.04,-4.67,0.227,61.0
21442,1077.077,eyeClosed,center,distracted,center,extremeFrontTilt,straight,10.58,176.65,-4.09,0.227,61.0
21443,1077.127,eyeClosed,center,distracted,center,extremeFrontTilt,straight,11.19,176.57,-4.13,0.226,61.0
21444,1077.177,eyeClosed,center,distracted,center,extremeFrontTilt,straight,11.34,176.48,-4.24,0.217,61.0
21445,1077.227,eyeClosed,center,distracted,center,extremeFrontTilt,straight,9.2,176.84,-3.89,0.091,61.0
21446,1077.278,eyeClosed,center,distracted,center,extremeFrontTilt,straight,6.89,176.31,-3.87,0.088,61.0
21447,1077.328,eyeClosed,center,distracted,center,extremeFrontTilt,straight,6.93,176.48,-3.76,0.095,61.0
21448,1077.378,eyeClosed,center,distracted,center,extremeFrontTilt,straight,7.63,176.23,-4.03,0.151,61.0
21449,1077.428,eyeClosed,center,distracted,center,extremeFrontTilt,straight,7.83,176.7,-4.17,0.187,61.0
21450,1077.479,eyeClosed,center,distracted,center,extremeFrontTilt,straight,7.91,176.74,-4.16,0.199,61.0
21451,1077.529,eyeClosed,center,distracted,center,extremeFrontTilt,straight,7.98,177.21,-3.88,0.202,61.0
21452,1077.579,eyeClosed,center,distracted,center,extremeFrontTilt,straight,7.99,177.42,-3.94,0.203,60.0
21453,1077.629,eyeClosed,center,distracted,center,extremeFrontTilt,straight,6.89,177.49,-3.66,0.218,60.0
21454,1077.679,eyeClosed,center,distracted,center,extremeFrontTilt,straight,7.49,177.36,-3.64,0.218,59.0
21455,1077.73,eyeClosed,center,distracted,center,extremeFrontTilt,straight,7.2,177.32,-3.71,0.221,59.0
21456,1077.78,eyeClosed,center,distracted,center,extremeFrontTilt,straight,7.87,177.17,-3.84,0.225,59.0
21457,1077.83,eyeClosed,center,distracted,center,extremeFrontTilt,straight,9.43,176.75,-4.09,0.23,59.0
21458,1077.88,eyeClosed,center,distracted,center,extremeFrontTilt,straight,8.24,177.37,-3.81,0.228,59.0
21459,1077.931,eyeOpen,center,distracted,center,extremeFrontTilt,straight,7.85,177.28,-3.77,0.233,60.0
21460,1077.981,eyeOpen,center,distracted,center,extremeFrontTilt,straight,7.46,177.23,-3.74,0.232,60.0
21461,1078.031,eyeOpen,center,distracted,center,extremeFrontTilt,straight,6.28,177.53,-3.54,0.232,60.0
21462,1078.081,eyeOpen,center,distracted,center,extremeFrontTilt,straight,6.4,177.7,-3.5,0.234,60.0
21463,1078.132,eyeOpen,center,distracted,center,extremeFrontTilt,straight,7.0,177.78,-3.46,0.237,60.0
21464,1078.182,eyeOpen,center,distracted,center,extremeFrontTilt,straight,6.06,177.35,-3.31,0.237,60.0
21465,1078.232,eyeOpen,center,distracted,center,extremeFrontTilt,straight,5.16,177.2,-3.15,0.24,60.0
21466,1078.282,eyeOpen,center,distracted,center,extremeFrontTilt,straight,5.16,177.04,-3.23,0.24,60.0
21467,1078.332,eyeOpen,center,distracted,center,extremeFrontTilt,straight,4.71,177.42,-3.15,0.24,60.0
21468,1078.383,eyeOpen,center,distracted,center,extremeFrontTilt,straight,3.94,177.14,-3.03,0.24,60.0
21469,1078.433,eyeOpen,center,distracted,center,extremeFrontTilt,straight,3.75,177.21,-2.95,0.239,60.0
21470,1078.483,eyeOpen,center,distracted,center,extremeFrontTilt,straight,2.65,177.12,-2.88,0.237,60.0
21471,1078.533,eyeOpen,center,distracted,center,extremeFrontTilt,straight,3.69,176.33,-3.0,0.237,60.0
21472,1078.584,eyeOpen,center,distracted,center,extremeFrontTilt,straight,3.52,176.33,-3.07,0.239,60.0
21473,1078.634,eyeOpen,center,distracted,center,extremeFrontTilt,straight,3.78,176.42,-3.12,0.237,60.0
21474,1078.684,eyeOpen,center,distracted,center,extremeFrontTilt,straight,5.02,176.59,-3.24,0.236,60.0
21475,1078.734,eyeOpen,center,distracted,center,extremeFrontTilt,straight,3.95,177.06,-3.02,0.234,60.0
21476,1078.785,eyeOpen,center,distracted,center,extremeFrontTilt,straight,5.15,177.17,-3.16,0.234,60.0
21477,1078.835,eyeClosed,center,distracted,center,extremeFrontTilt,straight,4.86,176.96,-3.14,0.229,60.0
21478,1078.885,eyeClosed,center,distracted,center,extremeFrontTilt,straight,1.22,177.57,-2.86,0.174,60.0
21479,1078.935,eyeClosed,center,distracted,center,extremeFrontTilt,straight,2.26,177.77,-2.75,0.095,60.0
21480,1078.986,eyeClosed,center,distracted,center,extremeFrontTilt,straight,1.52,177.65,-2.71,0.141,60.0
21481,1079.036,eyeClosed,center,distracted,center,extremeFrontTilt,straight,1.6,177.77,-2.96,0.198,60.0
21482,1079.086,eyeClosed,center,distracted,center,extremeFrontTilt,straight,1.39,178.13,-2.87,0.205,60.0
21483,1079.136,eyeClosed,center,distracted,center,extremeFrontTilt,straight,2.6,177.53,-2.88,0.21,60.0
21484,1079.186,eyeClosed,center,distracted,center,extremeFrontTilt,straight,1.77,177.79,-2.8,0.213,60.0
21485,1079.237,eyeClosed,center,distracted,center,extremeFrontTilt,straight,2.77,178.03,-2.89,0.219,60.0
21486,1079.287,eyeClosed,center,distracted,center,extremeFrontTilt,straight,2.97,177.78,-2.83,0.224,60.0
21487,1079.337,eyeClosed,center,distracted,center,extremeFrontTilt,straight,0.76,178.12,-2.58,0.225,60.0
21488,1079.387,eyeClosed,center,distracted,center,extremeFrontTilt,straight,2.26,177.92,-2.68,0.227,60.0
21489,1079.438,eyeClosed,center,distracted,center,extremeFrontTilt,straight,3.12,177.73,-2.85,0.227,60.0
21490,1079.488,eyeOpen,center,distracted,center,extremeFrontTilt,straight,1.68,177.64,-2.6,0.231,60.0
21491,1079.538,eyeClosed,center,distracted,center,extremeFrontTilt,straight,2.84,177.9,-2.81,0.23,60.0
21492,1079.588,eyeOpen,center,distracted,center,extremeFrontTilt,straight,0.98,177.98,-2.56,0.235,61.0
21493,1079.639,eyeOpen,center,distracted,center,extremeFrontTilt,straight,0.87,177.86,-2.49,0.236,61.0
21494,1079.689,eyeOpen,center,distracted,center,extremeFrontTilt,straight,1.95,177.54,-2.79,0.235,61.0
21495,1079.739,eyeOpen,center,distracted,center,extremeFrontTilt,straight,2.0,177.6,-2.76,0.233,61.0
21496,1079.789,eyeOpen,center,distracted,center,extremeFrontTilt,straight,3.61,177.33,-2.97,0.234,61.0
21497,1079.839,eyeOpen,center,distracted,center,extremeFrontTilt,straight,4.0,177.19,-2.95,0.235,61.0
21498,1079.89,eyeOpen,center,distracted,center,extremeFrontTilt,straight,4.4,177.19,-2.93,0.238,61.0
21499,1079.94,eyeOpen,center,distracted,center,extremeFrontTilt,straight,4.3,177.21,-2.78,0.235,61.0
21500,1079.99,eyeOpen,center,distracted,center,extremeFrontTilt,straight,2.16,177.44,-2.57,0.234,61.0
21501,1080.04,eyeClosed,center,distracted,center,extremeFrontTilt,straight,0.61,177.69,-2.32,0.229,61.0
21502,1080.091,eyeOpen,center,distracted,center,extremeFrontTilt,straight,0.84,177.63,-2.3,0.233,62.0
21503,1080.141,eyeClosed,center,distracted,center,extremeFrontTilt,straight,-2.54,177.92,-1.85,0.227,62.0
21504,1080.191,eyeClosed,center,distracted,center,extremeFrontTilt,straight,-1.5,177.89,-1.88,0.229,62.0
21505,1080.241,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-2.33,178.26,-1.8,0.231,63.0
21506,1080.292,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-1.79,178.14,-1.72,0.233,63.0
21507,1080.342,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-2.3,178.16,-1.72,0.236,63.0
21508,1080.392,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-2.83,178.32,-1.64,0.232,63.0
21509,1080.442,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-3.79,178.8,-1.55,0.233,63.0
21510,1080.492,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-4.97,178.99,-1.42,0.234,63.0
21511,1080.543,eyeOpen,center,distracted,center,extremeFrontTilt,straight,-4.85,178.17,-1.43,0.231,63.0
21512,1080.593,eyeClosed,center,distracted,center,extremeFrontTilt,straight,-4.75,178.48,-1.46,0.197,63.0
